4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	99
4	5	2	1	5	5	5	5	1	1	5	5	5	5	5	5	5	3
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3
4	6	2	1	6	6	6	6	1	1	6	6	6	6	6	6	6	3
4	6	3	3	6	6	6	6	3	3	6	6	6	6	6	6	6	3
4	6	6	6	6	6	2	6	6	6	6	2	6	1	1	1	1	3
4	6	6	6	2	1	6	6	6	1	1	6	6	6	6	6	6	3
4	5	3	3	5	5	5	5	3	3	5	2	5	5	5	5	5	3
4	5	5	5	5	5	5	5	5	5	5	2	5	5	5	5	5	3
4	6	6	6	6	6	6	6	6	6	6	3	2	3	3	3	3	3
4	6	6	6	6	6	6	6	6	6	6	3	6	3	3	3	3	3
4	5	3	3	8	8	8	8	3	3	8	8	8	8	8	8	8	3
4	7	7	7	2	1	7	7	7	1	1	7	7	7	7	7	7	3
4	8	8	8	3	3	8	8	8	3	3	8	8	8	8	8	8	3
4	8	8	8	3	3	8	8	8	3	3	8	8	8	8	8	8	3
4	8	8	8	3	3	8	8	8	3	3	8	8	8	8	8	8	3
4	8	8	8	3	3	8	8	8	3	3	8	8	8	8	8	8	3
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
